,route_id
8,3
21,4
11,5
7,6
25,7
23,8
17,9
37,14
18,17
40,18
12,19
34,21
3,22
24,23
31,24
30,25
1,28
33,29
0,34
20,35
29,38
14,41
38,42
15,43
28,50
5,52
22,55
36,56
13,64
19,72
35,75
2,76
42,77
39,79
26,84
6,86
27,87
16,88
41,89
4,93
9,94
32,95
10,96
